,Search String,Title,Heading,Link,Date,Search Engine
0,IRFC and Stocks,Indian Railway Finance Corporation Share Price Live blog for 10 Apr 2024 | Mint,mint,/url?q=https://www.livemint.com/market/live-blog/indian-railway-finance-corporation-share-price-today-latest-live-updates-on-10-apr-2024-11712716313116.html&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQICBAC&usg=AOvVaw0BflmerUhnQsocMSCunsGI,2024-04-10 10:34:46.933010,Google
1,IRFC and Stocks,"Technical picks: Bajaj Finserv, IRFC among 8 stocks that can rally up to 21% in short term - Money-making Ideas",The Economic Times,/url?q=https://m.economictimes.com/markets/stocks/news/technical-picks-bajaj-finserv-irfc-among-8-stocks-that-can-rally-up-to-21-in-short-term/money-making-ideas/slideshow/109123087.cms&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQICRAC&usg=AOvVaw0v88znDW-PXxtuYQcbR3Fz,2024-04-10 10:36:46.933056,Google
2,IRFC and Stocks,IRFC shares down 27% from one-year high; key technical levels to watch,Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-down-27-from-one-year-high-key-technical-levels-to-watch-423273-2024-03-28&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQIBBAC&usg=AOvVaw339Ho-TwwO6c1twR4Qhjm4,2024-04-10 10:35:46.933073,Google
3,IRFC and Stocks,IRFC Share Price Target: Should you BUY Railway PSU stock under Rs 200 for DIVIDEND?,ET Now,/url?q=https://www.etnownews.com/markets/irfc-share-price-target-2025-2024-should-you-buy-railway-psu-stock-under-rs-200-for-dividend-article-109080015&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQIARAC&usg=AOvVaw3S-LxH9v8kjyFGd8TjQ3_t,2024-04-10 10:33:46.933088,Google
4,IRFC and Stocks,"IRFC, RVNL: These Top 2 Railway Stocks Vs Top 2 PSU Bank FD Returns; Where You Earn More?",Goodreturns,/url?q=https://www.goodreturns.in/personal-finance/irfc-rvnl-these-top-2-railway-stocks-vs-top-2-psu-bank-fd-returns-where-you-earn-more-1340515.html&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQIAxAC&usg=AOvVaw0sh_Xl61X4XDVIMPa7AzZL,2024-04-10 10:35:46.933103,Google
5,IRFC and Stocks,"IRFC, RVNL, Railtel and other rail stocks fall up to 20% amidst broader market pain",cnbctv18,/url?q=https://www.cnbctv18.com/market/irfc-rvnl-ircon-railtel-share-price-fall-up-to-20-percent-from-peak-sharp-correction-19262851.htm&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQIBRAC&usg=AOvVaw3a1TEAJ32KEQ0TDG9YB6gN,2024-04-10 10:34:46.933117,Google
6,IRFC and Stocks,"Money-Making Ideas: IRFC, Bajaj Finance, HDFC And Coal India Are Among Top Stocks To Buy Today | Check Share P",Times Now,/url?q=https://www.timesnownews.com/business-economy/markets/money-making-ideas-irfc-bajaj-finance-hdfc-and-coal-india-are-among-top-stocks-to-buy-today-check-share-price-targets-article-109052494&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQIABAC&usg=AOvVaw11z9pnCit7JdEs_6rfwzwr,2024-04-10 10:32:46.933132,Google
7,IRFC and Stocks,"Railway stocks bounce back; IRFC, Railtel, RVNL, others surge up to 11%",Moneycontrol,/url?q=https://www.moneycontrol.com/news/business/markets/railway-stocks-bounce-back-irfc-railtel-rvnl-others-surge-up-to-11-12458391.html&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQIBhAC&usg=AOvVaw1hKFlWNO8ZB0DITvlN117w,2024-04-10 10:33:46.933146,Google
8,IRFC and Stocks,"IRFC, Bajaj Finance to HDFC Bank — experts recommend these 5 shares to buy after RBI monetary policy meeting | Mint",mint,/url?q=https://www.livemint.com/market/stock-market-news/irfc-bajaj-finance-to-hdfc-bank-expert-recommend-these-5-shares-to-buy-after-rbi-monetary-policy-meeting-11712296952777.html&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQIBxAC&usg=AOvVaw0bomAKoJqVi_Tq9pYRelmZ,2024-04-10 10:34:46.933159,Google
9,IRFC and Stocks,"Hot stocks on April 2: South Indian Bank, Waaree Renewable, IRFC, Cochin Shipyard and more",BUSINESS TODAY,/url?q=https://www.businesstoday.in/visualstories/stock/hot-stocks-on-april-2-south-indian-bank-waaree-renewable-irfc-cochin-shipyard-and-more-118948-02-04-2024&sa=U&ved=2ahUKEwjNy_ig8LaFAxXjRmwGHf_pA_EQxfQBegQIAhAC&usg=AOvVaw09G9PFTsgmCzxR6nXbkCxS,2024-04-10 10:36:46.933173,Google
10,IRFC and Stocks,"Railway stocks jump up to 12%; IRFC, Ircon International top gainers",The Economic Times,/url?q=https://m.economictimes.com/markets/stocks/news/railway-stocks-jump-up-to-12-irfc-ircon-international-top-gainers/articleshow/108488060.cms&sa=U&ved=2ahUKEwiHtJ6h8LaFAxVJSGwGHSfpBcs4ChDF9AF6BAgEEAI&usg=AOvVaw1_5i85QgDkRpItCZVQUM3T,2024-04-10 10:33:46.933187,Google
11,IRFC and Stocks,"Five railway multibagger stocks including IRFC, RVNL, RailTel Corp nosedive up to 20% – here's why | Mint",mint,/url?q=https://www.livemint.com/market/stock-market-news/five-railway-multibagger-stocks-including-irfc-rvnl-railtel-corp-ircon-irctc-nosedive-up-to-20-11710325344512.html&sa=U&ved=2ahUKEwiHtJ6h8LaFAxVJSGwGHSfpBcs4ChDF9AF6BAgJEAI&usg=AOvVaw0FAmI4qlWBaYK36iv6RBIi,2024-04-10 10:33:46.933202,Google
12,IRFC and Stocks,"Hot stocks on April 1: Suzlon Energy, Jio Financial, IRFC, JSW Steel and more",BUSINESS TODAY,/url?q=https://www.businesstoday.in/visualstories/stock/hot-stocks-on-april-1-suzlon-energy-jio-financial-irfc-jsw-steel-and-more-118708-01-04-2024&sa=U&ved=2ahUKEwiHtJ6h8LaFAxVJSGwGHSfpBcs4ChDF9AF6BAgCEAI&usg=AOvVaw0ODFCi6VmtM59cSpLEAZg2,2024-04-10 10:36:46.933217,Google
13,IRFC and Stocks,"IRFC, Suzlon, Hudco, Jupiter Wagons among 20 stocks that rallied up to 400% in FY24",Business Today,/url?q=https://www.businesstoday.in/markets/trending-stocks/story/irfc-suzlon-hudco-jupiter-wagons-among-20-stocks-that-rallied-up-to-400-in-fy24-423382-2024-03-29&sa=U&ved=2ahUKEwiHtJ6h8LaFAxVJSGwGHSfpBcs4ChDF9AF6BAgIEAI&usg=AOvVaw0BccaeD3KJKtUGVeWiaSh4,2024-04-10 10:36:46.933231,Google
14,IRFC and Stocks,"Multibagger railway stocks IRFC, RVNL and 3 others fall up to 13.5%. Here's why | Mint",mint,/url?q=https://www.livemint.com/market/stock-market-news/multibagger-railway-stocks-irfc-rvnl-irctc-ircon-railtel-fall-up-to-11-5-heres-why-11707729288429.html&sa=U&ved=2ahUKEwiHtJ6h8LaFAxVJSGwGHSfpBcs4ChDF9AF6BAgGEAI&usg=AOvVaw0l2SiABN83e6zhVc1O0iu1,2024-04-10 10:36:46.933244,Google
15,IRFC and Stocks,"IRFC stock surges nearly 500% in 10 months, market cap reaches ₹2 lakh crore; here's why | Mint",mint,/url?q=https://www.livemint.com/market/stock-market-news/irfc-share-price-surges-nearly-500-in-10-months-market-cap-reaches-rs-2-lakh-crore-11705639902104.html&sa=U&ved=2ahUKEwiHtJ6h8LaFAxVJSGwGHSfpBcs4ChDF9AF6BAgDEAI&usg=AOvVaw2nhn6h8VEwyyJb5nRO3yDO,2024-04-10 10:35:46.933258,Google
16,IRFC and Stocks,IRFC hits fresh one-year high as stock soars 47% in six sessions; here's what analysts say,Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-hits-fresh-one-year-high-as-stock-soars-47-in-six-sessions-heres-what-analysts-say-413490-2024-01-16&sa=U&ved=2ahUKEwiHtJ6h8LaFAxVJSGwGHSfpBcs4ChDF9AF6BAgFEAI&usg=AOvVaw1pKwCQuAZ79IVo9eA_iOcs,2024-04-10 10:35:46.933271,Google
17,IRFC and Stocks,IRFC shares up 21% in two days as stock hits fresh one-year high; is more steam left?,Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-up-21-in-two-days-as-stock-hits-fresh-one-year-high-is-more-steam-left-414277-2024-01-20&sa=U&ved=2ahUKEwiHtJ6h8LaFAxVJSGwGHSfpBcs4ChDF9AF6BAgAEAI&usg=AOvVaw3QruxpYxKH3btighqAzYT0,2024-04-10 10:35:46.933285,Google
18,IRFC and Stocks,"IRFC Q3 results: Profit slips marginally to Rs 1,604 crore; stock settles 5% lower",Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-q3-results-profit-slips-marginally-to-rs-1604-crore-stock-settles-5-lower-416921-2024-02-09&sa=U&ved=2ahUKEwiHtJ6h8LaFAxVJSGwGHSfpBcs4ChDF9AF6BAgBEAI&usg=AOvVaw0eIVLfhdjVQQirlSQc1Wvs,2024-04-10 10:35:46.933299,Google
